"NetID","date","site","sample_n","macrophyte","macrophyte_dw","epiphytic_algae","epiphytic_algae_sp","Amphibalanus_improvisus","Ampullaceana_balthica","Anellidae_sp.","Bivalvia_sp.","Cerastoderma_glaucum.Parvicardium_exiguum","Chironomid_larva_pupa","Cordylophora_caspia","Cyanophthalma_obscura","Dugesiidae_sp.","Dytiscidae_sp.","Electra_crustulenta","Gammarus_sp.","Hediste_diversicolor","Hydrobiidae.Tateidae_sp.","Idotea_baltica","Idotea_chelipes","Idotea_granulosa","Insect_larva_pupa_others","Jaera_albifrons","Leptocheirus_pilosus","Limapontia_sp.","Mytilus_trossulus.Mytilopsis_leucophaeata","Nematoda_sp.","Palaemon_sp.","Physa_fontinalis","Piscicola_sp.","Potamopyrgus_antipodarum","Sinelobus_vanhaareni","Stylaria_lacustris","Theodoxus_fluviatilis"
"Oct_2021_SP","Oct_2021","Spikarna","SP_01","Phyllophora_pseudoceranoides","0.15","yes","Ceramium sp.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Oct_2021_SP","Oct_2021","Spikarna","SP_02","Phyllophora_pseudoceranoides","0.13","yes","Ceramium sp.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Oct_2021_SP","Oct_2021","Spikarna","SP_03","Phyllophora_pseudoceranoides","0.26","yes","Furcellaria sp., Ceramium sp.",0,2,0,0,0,0,0,2,0,0,0,0,0,5,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Oct_2021_SP","Oct_2021","Spikarna","SP_04","Phyllophora_pseudoceranoides","0.32","yes","Ceramium sp.",0,3,0,0,0,0,0,0,0,0,0,5,0,6,1,6,0,0,0,0,0,4,0,0,0,0,0,0,0,4
"Oct_2021_SP","Oct_2021","Spikarna","SP_05","Phyllophora_pseudoceranoides","0.26","yes","Ceramium sp.",0,0,0,0,2,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Oct_2021_SP","Oct_2021","Spikarna","SP_06","Furcellaria_sp.","2.29","yes","Ceramium sp.",1,4,0,0,4,0,0,0,6,0,1,1,0,2,0,9,0,0,1,0,0,8,0,0,0,0,0,0,0,9
"Oct_2021_SP","Oct_2021","Spikarna","SP_07","Furcellaria_sp.","0.63","yes","Ceramium sp.",1,1,0,0,2,0,0,0,1,0,0,0,1,2,1,2,0,0,0,0,1,29,0,0,0,0,0,0,0,5
"Oct_2021_SP","Oct_2021","Spikarna","SP_08","Furcellaria_sp.","1.25","yes","Ceramium sp., Ulva sp., Phyllophora sp., Cladophora rupestris",0,11,0,0,1,0,0,0,2,1,0,2,0,21,0,10,0,0,1,0,0,20,0,0,0,0,0,0,0,7
"Oct_2021_SP","Oct_2021","Spikarna","SP_09","Furcellaria_sp.","2.4","yes","Ceramium sp., Cladophora rupestris",0,6,0,0,0,0,0,2,4,0,1,7,0,1,1,5,0,0,1,0,0,8,0,0,0,0,0,0,0,0
"Oct_2021_SP","Oct_2021","Spikarna","SP_10","Furcellaria_sp.","4.98","no","no_info",0,7,0,0,2,0,0,0,20,0,1,0,1,28,0,4,0,0,4,0,0,46,0,0,0,0,0,0,0,6
